	17_unmap	21_unmap	22_unmap	24_unmap	5_unmap	64_unmap	7_unmap	Uronychia_binucleata_uniq
Number of genes	66391	88053	46450	83212	94241	92557	88904	82892
Number of genes in orthogroups	29888	22151	19107	82646	93749	92101	88483	25401
Number of unassigned genes	36503	65902	27343	566	492	456	421	57491
Percentage of genes in orthogroups	45.0	25.2	41.1	99.3	99.5	99.5	99.5	30.6
Percentage of unassigned genes	55.0	74.8	58.9	0.7	0.5	0.5	0.5	69.4
Number of orthogroups containing species	15012	10464	8640	76666	84958	83631	80751	14724
Percentage of orthogroups containing species	12.3	8.6	7.1	62.8	69.6	68.5	66.1	12.1
Number of species-specific orthogroups	3020	6240	3785	2	1	5	1	2768
Number of genes in species-specific orthogroups	13567	16458	11183	20	16	26	14	7724
Percentage of genes in species-specific orthogroups	20.4	18.7	24.1	0.0	0.0	0.0	0.0	9.3


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	107130	111678	113502	45476	37184	38511	41391	107418
'1	10078	3436	3622	71558	78000	76879	74586	9246
'2	3273	5121	3426	4516	5819	5685	5178	3625
'3	729	1133	777	477	854	804	741	937
'4	293	363	285	65	169	154	143	364
'5	151	148	145	21	43	39	50	189
'6	102	88	113	7	28	23	13	121
'7	70	54	52	5	10	16	10	63
'8	49	28	41	3	11	10	7	29
'9	38	20	27	7	4	4	6	28
'10	33	16	28	0	3	2	4	27
11-15	62	28	73	6	12	9	10	48
16-20	35	13	24	1	3	4	2	23
21-50	65	13	22	0	2	2	1	20
51-100	24	1	3	0	0	0	0	4
101-150	6	0	1	0	0	0	0	0
151-200	2	1	0	0	0	0	0	0
201-500	1	1	1	0	0	0	0	0
501-1000	1	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	87.7	91.4	92.9	37.2	30.4	31.5	33.9	87.9
'1	8.3	2.8	3.0	58.6	63.9	62.9	61.1	7.6
'2	2.7	4.2	2.8	3.7	4.8	4.7	4.2	3.0
'3	0.6	0.9	0.6	0.4	0.7	0.7	0.6	0.8
'4	0.2	0.3	0.2	0.1	0.1	0.1	0.1	0.3
'5	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.2
'6	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.1
'7	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0
'1	10078	3436	3622	71558	78000	76879	74586	9246
'2	6546	10242	6852	9032	11638	11370	10356	7250
'3	2187	3399	2331	1431	2562	2412	2223	2811
'4	1172	1452	1140	260	676	616	572	1456
'5	755	740	725	105	215	195	250	945
'6	612	528	678	42	168	138	78	726
'7	490	378	364	35	70	112	70	441
'8	392	224	328	24	88	80	56	232
'9	342	180	243	63	36	36	54	252
'10	330	160	280	0	30	20	40	270
11-15	785	344	925	78	157	116	131	595
16-20	619	231	429	18	53	70	33	401
21-50	2043	354	674	0	56	57	34	554
51-100	1524	98	161	0	0	0	0	222
101-150	677	0	122	0	0	0	0	0
151-200	354	161	0	0	0	0	0	0
201-500	332	224	233	0	0	0	0	0
501-1000	650	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	15.2	3.9	7.8	86.0	82.8	83.1	83.9	11.2
'2	9.9	11.6	14.8	10.9	12.3	12.3	11.6	8.7
'3	3.3	3.9	5.0	1.7	2.7	2.6	2.5	3.4
'4	1.8	1.6	2.5	0.3	0.7	0.7	0.6	1.8
'5	1.1	0.8	1.6	0.1	0.2	0.2	0.3	1.1
'6	0.9	0.6	1.5	0.1	0.2	0.1	0.1	0.9
'7	0.7	0.4	0.8	0.0	0.1	0.1	0.1	0.5
'8	0.6	0.3	0.7	0.0	0.1	0.1	0.1	0.3
'9	0.5	0.2	0.5	0.1	0.0	0.0	0.1	0.3
'10	0.5	0.2	0.6	0.0	0.0	0.0	0.0	0.3
11-15	1.2	0.4	2.0	0.1	0.2	0.1	0.1	0.7
16-20	0.9	0.3	0.9	0.0	0.1	0.1	0.0	0.5
21-50	3.1	0.4	1.5	0.0	0.1	0.1	0.0	0.7
51-100	2.3	0.1	0.3	0.0	0.0	0.0	0.0	0.3
101-150	1.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0
151-200	0.5	0.2	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.5	0.3	0.5	0.0	0.0	0.0	0.0	0.0
501-1000	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
